Feature,Importance
form_fill_time_sec,361
mouse_entropy,130
keystroke_interval_ms,74
request_rate_per_sec,45
page_view_time_sec,24
scroll_depth_pct,20
device_consistency_score,16
burst_alignment_score,15
otp_solve_time_sec,8
geo_variance_km,8
device_fingerprint_reuse_count,8
device_risk_score,7
tls_signature_entropy,7
inter_request_variance_ms,6
keystroke_consistency,6
behavioral_entropy,5
content_consumption_speed,5
tls_signature_stability,3
device_consistency_anomaly,3
form_fill_efficiency,3
ip_reputation_proxy_signal,3
otp_solve_speed,2
time_to_release_minutes,2
behavioral_risk_score,2
mouse_activity_anomaly,2
request_burst_intensity,2
request_rate_anomaly,1
account_age_days_proxy,1
requests_per_session_zscore,1
pnr_search_velocity,1
inter_request_timing_regularity,1
ja3_hash_stability,1
temporal_risk_score,1
form_fill_volatility_indicator,0
page_interaction_depth,0
user_agent_diversity,0
user_agent_volatility,0
rapid_request_detection,0
vpn_or_proxy_detected,0
datacenter_ip_probability,0
burst_window_anomaly,0
geographic_anomaly,0
tls_jitter_anomaly,0
session_duration_anomaly,0
session_duration_sec,0
volume_anomaly_score,0
concurrent_session_spike,0
checkout_attempts_per_session,0
requests_per_session,0
blacklist_match_probability,0
prior_fraud_flag,0
aadhaar_verified,0
ensemble_bot_probability,0
